term,crn,catalog_id,section,credits,title,timecodes,instructor
Spring2023,37896,HIST 1100,07,3.000,Origins of the Modern World Since 1500,['TF 1100am-1215pm 01/17-05/10'],Shannon   King
Spring2023,38260,HIST 1100,08,3.000,Origins of the Modern World Since 1500,['TF 0930am-1045am 01/17-05/10'],Louise Y.  Palmer
Spring2023,38261,HIST 1100,09,3.000,Origins of the Modern World Since 1500,['TR 0500pm-0615pm 01/17-05/10'],Kevin   Lord
Spring2023,38262,HIST 1100,10,3.000,Origins of the Modern World Since 1500,['TR 0500pm-0615pm 01/17-05/10'],Jonathon   Awtrey
Spring2023,38913,HIST 1100,11,3.000,Origins of the Modern World Since 1500,['TF 1230pm-0145pm 01/17-05/10'],Jonathon   Awtrey
Spring2023,38914,HIST 1100,12,3.000,Origins of the Modern World Since 1500,['TF 0330pm-0445pm 01/17-05/10'],Jonathon   Awtrey
Spring2023,38915,HIST 1100,13,3.000,Origins of the Modern World Since 1500,['TF 0330pm-0445pm 01/17-05/10'],Louise Y.  Palmer
Spring2023,38916,HIST 1100,14,3.000,Origins of the Modern World Since 1500,['TF 0330pm-0445pm 01/17-05/10'],Maryam   Kamali
Spring2023,38917,HIST 1100,15,3.000,Origins of the Modern World Since 1500,['TR 0500pm-0615pm 01/17-05/10'],Maryam   Kamali
Spring2023,38918,HIST 1100,16,3.000,Origins of the Modern World Since 1500,['W 1100am-0130pm 01/17-05/10'],Laurence   Jurdem
Spring2023,38919,HIST 1100,17,3.000,Origins of the Modern World Since 1500,['W 1100am-0130pm 01/17-05/10'],Matthew   Rowley
Spring2023,38263,HIST 1102,01,3.000,"China, Japan, and Europe",['TF 0200pm-0315pm 01/17-05/10'],Danke   Li
Spring2023,37897,HIST 1105,01,3.000,Utopian Ideas and Practice Since 1500,[' TBA 01/17-05/10'],Nicholas K.  Rutter
Spring2023,37898,HIST 1105,02,3.000,Utopian Ideas and Practice Since 1500,[' TBA 01/17-05/10'],Nicholas K.  Rutter
Spring2023,37899,HIST 1106,01,3.000,Imperialism and Colonialism,['MR 1230pm-0145pm 01/17-05/10'],Silvia   Marsans-Sakly
Spring2023,38265,HIST 1106,02,3.000,Imperialism and Colonialism,['MR 0930am-1045am 01/17-05/10'],Silvia   Marsans-Sakly
Spring2023,37900,HIST 1146,01,3.000,Women's History as U.S. History,['MR 0930am-1045am 01/17-05/10'],Anna M.  Lawrence
Spring2023,37901,HIST 1146,02,3.000,Women's History as U.S. History,['MR 1100am-1215pm 01/17-05/10'],Anna M.  Lawrence
Spring2023,37902,HIST 2202,01,3.000,"Health and Healing in America, 1650-1980: History of Western Medicine",['TF 0800am-0915am 01/17-05/10'],Louise Y.  Palmer
Spring2023,38920,HIST 2202,02,3.000,"Health and Healing in America, 1650-1980: History of Western Medicine",['TF 1100am-1215pm 01/17-05/10'],Louise Y.  Palmer
Spring2023,38921,HIST 2205,01,3.000,Anti-Semitism: Medieval to Modern,['MR 0200pm-0315pm 01/17-05/10'],Patricia E.  Behre
Spring2023,38922,HIST 2205,02,3.000,Anti-Semitism: Medieval to Modern,['MR 0330pm-0445pm 01/17-05/10'],Patricia E.  Behre
Spring2023,38923,HIST 2210,01,3.000,The Third Reich,['W 0800am-1030am 01/17-05/10'],Nicholas K.  Rutter
Spring2023,38924,HIST 2210,02,3.000,The Third Reich,['T 0630pm-0900pm 01/17-05/10'],Nicholas K.  Rutter
Spring2023,38925,HIST 2215,01,3.000,Ireland: Middle Ages to the Present,['TWF 1100am-1150am 01/17-05/10'],William M.  Abbott
Spring2023,38926,HIST 2222,01,3.000,The Roman Revolution,['MR 1230pm-0145pm 01/17-05/10'],Giovanni R.  Ruffini
Spring2023,38927,HIST 2242,01,3.000,"Immigration, Race, and Ethnicity in U.S. History",['MR 0330pm-0445pm 01/17-05/10'],Cecelia F.  Bucki
Spring2023,38928,HIST 2245,01,3.000,Feminism in the United States,['W 0200pm-0430pm 01/17-05/10'],Elizabeth   Hohl
Spring2023,37905,HIST 2263,01,3.000,Inventing Themselves: African-American Women in U.S. History,['TF 1230pm-0145pm 01/17-05/10'],Elizabeth   Hohl
Spring2023,37906,HIST 2263,02,3.000,Inventing Themselves: African-American Women in U.S. History,['TF 0200pm-0315pm 01/17-05/10'],Elizabeth   Hohl
Spring2023,38929,HIST 2264,01,3.000,"African-American History, 1865 to Present",['TF 0330pm-0445pm 01/17-05/10'],Shannon   King
Spring2023,38930,HIST 2264,02,3.000,"African-American History, 1865 to Present",['TF 1230pm-0145pm 01/17-05/10'],Shannon   King
