nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0001073,Courteney Cox,1964,\N,"actress,producer,director","tt0117571,tt0134084,tt0108778,tt0233142"
nm0000240,Skeet Ulrich,1970,\N,"actor,director,producer","tt0115963,tt0913354,tt0409572,tt0117571"
nm0000127,Wes Craven,1939,2015,"writer,producer,director","tt0105121,tt0117571,tt0087800,tt0111686"
nm0932078,Kevin Williamson,1965,\N,"writer,producer,actor","tt1405406,tt0120082,tt0117571,tt2071645"
nm0001937,Marco Beltrami,1966,\N,"composer,music_department,soundtrack","tt0187738,tt0343818,tt0448011,tt0816711"
nm0326155,Al Goldstein,1936,2013,"actor,producer,director","tt0185654,tt0070232,tt0074788,tt0189733"
nm0027199,Michael J. Anderson,1953,\N,actor,"tt0319969,tt0105665,tt0166924,tt0098936"
nm0163840,David Aaron Clark,1960,2009,"director,actor,writer","tt0306790,tt0433799,tt1519380,tt0474354"
nm0000465,Ron Jeremy,1953,\N,"actor,director,writer","tt0124819,tt0120577,tt0165710,tt0144117"
nm0186688,Alexander Crawford,\N,\N,"cinematographer,director,editor","tt0482104,tt0117573,tt0107086"
nm0348640,Andrew Gurland,1971,\N,"producer,writer,director","tt2786956,tt1320244,tt0377088,tt0139221"
nm0680846,Todd Phillips,1970,\N,"producer,director,writer","tt1231583,tt1119646,tt0302886,tt7286456"
nm0371971,Tom Hazelmeyer,\N,\N,composer,"tt5990270,tt0117573"
nm0492305,Chi-Leung Law,\N,\N,"director,writer,actor","tt2106741,tt0316023,tt0117575,tt0113651"
nm0482571,Bosco Lam,\N,\N,"assistant_director,director,writer","tt0113806,tt0388416,tt0344111,tt0465580"
nm0497171,Dong-hee Lee,\N,\N,editor,"tt0380679,tt0117578"
nm0453482,Hyun-sung Kim,\N,\N,actor,"tt0327169,tt0117578,tt1622764,tt0312308"
nm0432535,Hee-suk Jung,\N,\N,actor,tt0117578
nm0497475,Jang-won Lee,\N,\N,actor,"tt4320560,tt0475258,tt0320763,tt0117578"
nm1128288,Young-soo Kim,\N,\N,actor,"tt0117578,tt2185037"
nm0948027,Soon-rye Yim,1960,\N,"director,writer,producer","tt6083230,tt1232162,tt0297462,tt0117578"
nm0661893,Kyung-hee Park,\N,\N,"writer,director,assistant_director","tt0757874,tt4222450,tt0379381,tt1826860"
nm1118613,Eun-young Kim,\N,\N,"producer,actress,costume_department","tt0790686,tt3265096,tt0117578,tt0372937"
nm0496933,Byung-woo Lee,1965,\N,composer,"tt0365376,tt0380689,tt0468492,tt1216496"
nm0336881,Peter Gray,1951,\N,"cinematographer,camera_department,miscellaneous","tt0369339,tt0479143,tt0109194,tt0346631"
nm0004020,Steven Douglas Smith,\N,\N,"cinematographer,camera_department,producer","tt0130623,tt0455407,tt0343660,tt0795461"
nm0567309,Matthew McCurley,1982,\N,actor,"tt0110687,tt0110364,tt0112175,tt0113376"
nm0001153,Lesley-Anne Down,1954,\N,"actress,writer,soundtrack","tt0079240,tt0092325,tt0088583,tt0075066"
nm0940706,Maurice Woods,\N,\N,actor,"tt0103512,tt0120885,tt0117581,tt0106057"
nm7651491,Rory Johnston,\N,\N,"director,actor,writer","tt0117380,tt0117581,tt0118698,tt0103919"
nm0006122,Jan Hammer,1948,\N,"music_department,composer,soundtrack","tt0160127,tt1366344,tt0086759,tt0120888"
nm0015205,George Akers,1948,\N,"editor,sound_department,editorial_department","tt0072684,tt0097289,tt0078346,tt0097375"
nm0000980,Jim Broadbent,1949,\N,"actor,writer,soundtrack","tt0203009,tt1431181,tt1007029,tt0151568"
nm0001275,Philip Glass,1937,\N,"composer,soundtrack,music_department","tt0120382,tt0465551,tt0274558,tt0443543"
nm0296060,Nikki Fritz,1963,2020,"actress,camera_department,editorial_department","tt0139239,tt0233289,tt0189184,tt0162315"
nm0397959,Dean Howell,1962,\N,"actor,director,writer","tt0371008,tt0117585,tt0058796,tt0112418"
nm0724604,John Henry Richardson,\N,\N,"actor,director,writer","tt6026700,tt5344794,tt5442626,tt5093770"
nm0654146,Glenn Owen,\N,\N,"editor,producer",tt0117585
nm0953648,David Zasloff,\N,\N,"composer,actor,art_department","tt0117585,tt0108510,tt6413038,tt0282502"
nm0568037,Tom McDonald,\N,\N,cinematographer,"tt0804904,tt0117585"
nm0192372,Kira Cunningham,\N,\N,"art_director,production_designer,art_department","tt0114293,tt0116075,tt0113546,tt0117585"
nm0158360,Alison Chitty,1948,\N,"production_designer,costume_designer","tt0107653,tt0092580,tt0117589,tt4027124"
nm0001758,Timothy Spall,1957,\N,"actor,soundtrack,writer","tt0259711,tt2473794,tt0408236,tt0117589"
nm0000950,Brenda Blethyn,1946,\N,"actress,soundtrack,writer","tt0414387,tt0195234,tt0147004,tt0117589"
nm0517642,Phyllis Logan,1956,\N,"actress,soundtrack","tt6398184,tt0117589,tt0036606,tt1606375"
nm0750718,Claire Rushbrook,1971,\N,actress,"tt4015216,tt8359654,tt0117589,tt2407574"
nm0005139,Mike Leigh,1943,\N,"director,writer,actor","tt1045670,tt1431181,tt0107653,tt0117589"
nm0151925,Simon Channing Williams,1945,2009,"producer,miscellaneous,assistant_director","tt0107653,tt0117589,tt1045670,tt0387131"
nm0225614,Andrew Dickson,1945,\N,"composer,actor,music_department","tt0107653,tt0095302,tt0383694,tt0117589"
nm0005836,Dick Pope,1947,\N,"cinematographer,camera_department,actor","tt1431181,tt0117589,tt0385887,tt0443543"
nm0339856,Jon Gregory,\N,\N,"editor,editorial_department","tt0109831,tt5027774,tt0277941,tt0780536"
nm1066970,Rico E. Anderson,1968,\N,"actor,producer,miscellaneous","tt6111130,tt7587890,tt5691552,tt7821582"
nm0146400,Esperanza Catubig,1971,\N,"actress,producer,make_up_department","tt0454941,tt0157472,tt3499966,tt2322521"
nm0866656,Martin Tomic,1946,\N,"editor,actor","tt0177158,tt0104593,tt0084080,tt0176637"
nm0575969,Rene Medvesek,1963,\N,actor,"tt0119874,tt0103923,tt0117591,tt0099554"
nm0696761,Alma Prica,1962,\N,actress,"tt0347720,tt0120369,tt0107339,tt2244877"
nm0575970,Sven Medvesek,\N,\N,actor,"tt1396226,tt0100519,tt1488601,tt0119694"
nm0312657,Josip Genda,1943,2006,actor,"tt0166234,tt0058295,tt0117591,tt0059064"
nm0304046,Bruno Gamulin,1947,\N,"director,writer,assistant_director","tt0080174,tt0097765,tt0187511,tt0296150"
nm0304047,Grga Gamulin,\N,\N,"writer,director","tt0117591,tt0333666,tt0061530,tt0180054"
nm0733681,Davor Rocco,1948,\N,"composer,sound_department,editor","tt0100893,tt0166383,tt0296150,tt0333602"
nm0585671,Enes Midzic,1946,\N,"cinematographer,camera_department,producer","tt2130051,tt0071728,tt0097765,tt0086225"
nm0299782,Ingeborg Fülepp,\N,\N,"editorial_department,editor","tt0081531,tt0119749,tt0084952,tt0097765"
nm0575792,Mirana Medina-Bhunjun,\N,\N,"editor,writer,editorial_department","tt0320574,tt0117594,tt2101393,tt0291760"
nm0017400,Michelle Aldana,\N,\N,actress,"tt5056898,tt0379803,tt0117594,tt0335543"
nm0261807,Gary Estrada,\N,\N,actor,"tt0343723,tt1070058,tt6061574,tt0377542"
nm0604176,Ruby Moreno,1965,\N,"actress,miscellaneous","tt0117594,tt1042306,tt0108405,tt0318466"
nm0553445,Albert Martinez,1963,\N,"actor,producer,director","tt1733275,tt0125415,tt0125475,tt0117594"
nm0013650,Tikoy Aguiluz,\N,\N,"director,writer,producer","tt0117594,tt0159248,tt0125475,tt0291760"
nm0479782,Jose F. Lacaba,\N,\N,"writer,actor,soundtrack","tt0117594,tt0079361,tt0086943,tt0125475"
nm0480350,Amado Lacuesta,\N,\N,"writer,music_department,soundtrack","tt0301405,tt0117594,tt0318466,tt0185905"
nm0190862,Eric M. Cuatico,\N,\N,producer,"tt0345132,tt0099717,tt0335453,tt0313547"
nm0197584,Jun Dalawis,\N,\N,"cinematographer,camera_department","tt0117594,tt0314194,tt0159248,tt0345547"
nm0021781,Sarah Almazol,\N,\N,actress,tt0117596
nm0195290,Mike D'Angelo,\N,\N,actor,tt0117596
nm0258843,Tim Ereneta,\N,\N,actor,"tt2690398,tt0117596"
nm0397684,Wendy Howard-Benham,\N,\N,actress,tt0117596
nm0258842,Chris Ereneta,1968,\N,"director,writer,editor",tt0117596
nm0472064,Michael Kroll,\N,\N,composer,tt0117596
nm0769928,Miriam Schalit,\N,\N,"producer,director,writer","tt0847858,tt0117596,tt0240295"
nm0173182,Colorfactory,\N,\N,composer,tt0117600
nm0897510,Tatiana Vilhelmová,1978,\N,"actress,soundtrack","tt0145929,tt2950242,tt0406098,tt0243859"
nm0610879,Jan P. Muchow,1971,\N,"composer,soundtrack,actor","tt0366635,tt1860359,tt1342408,tt0494231"
nm0147678,Jan Cechticky,1970,\N,"composer,actor","tt0117600,tt0246608,tt1827133,tt0182070"
nm0617177,Martin Mysicka,1970,\N,actor,"tt0400988,tt1773000,tt1080716,tt1734579"
nm0648576,David Ondrícek,1969,\N,"director,producer,writer","tt1860359,tt0117600,tt4190530,tt0219288"
nm0557975,Tomas Masin,1966,\N,"director,art_director,writer","tt1305837,tt3245204,tt10016580,tt2951044"
nm0637302,Jan Novák,1953,\N,"writer,actor,script_department","tt2951044,tt0098575,tt0118675,tt3245204"
nm0653561,Petr Oukropec,1972,\N,"producer,director,writer","tt5495726,tt2251519,tt5180284,tt0145929"
nm0834672,Pavel Strnad,1970,\N,producer,"tt0408120,tt7689186,tt5495726,tt0113420"
nm0001178,Sergei M. Eisenstein,1898,1948,"director,writer,editor","tt0015648,tt0018217,tt0029850,tt0037824"
nm0314516,Aleksey German,1938,2013,"actor,writer,director","tt0084345,tt0074447,tt2328813,tt0156701"
nm0468326,Oleg Kovalov,1950,\N,"director,writer,actor","tt0112711,tt0132396,tt0158935,tt0117602"
nm0836898,Galina Subayeva,\N,\N,editor,"tt0170114,tt0156836,tt0093566,tt0112711"
nm0001451,Queen Latifah,1970,\N,"producer,actress,music_department","tt0427327,tt0299658,tt0305669,tt0316732"
nm0000407,Vivica A. Fox,1964,\N,"actress,producer,soundtrack","tt0266697,tt0116629,tt0118688,tt1628841"
nm0253708,Kimberly Elise,1967,\N,"actress,soundtrack,executive","tt1405500,tt4649416,tt3568666,tt0368008"
nm0336620,F. Gary Gray,1969,\N,"director,actor,producer","tt0113118,tt0317740,tt0120768,tt0117603"
nm0119405,Takashi Bufford,1952,\N,"writer,producer","tt8833474,tt0118750,tt0118249,tt0117603"
nm0486824,Kate Lanier,\N,\N,"writer,producer,director","tt0388500,tt0118589,tt0120757,tt0140998"
nm0689645,Dale Pollock,\N,\N,"producer,executive","tt0117104,tt0117603,tt0097880,tt0200469"
nm0724572,Henry Richardson,1936,2017,"editor,editorial_department,visual_effects","tt0139809,tt0090264,tt0086034,tt0089941"
nm0000063,Anthony Quinn,1915,2001,"actor,producer,soundtrack","tt0056172,tt0049456,tt0057831,tt0074896"
