term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,instructors,cap,act,rem
Spring2022,34313,MGMT 4375,01,3.000,Sports Management,"[{'days': 'T', 'times': '0500pm-0730pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['T 0500pm-0730pm 01/18-05/11 TBA'],Eugene P.  Doris,Eugene P.  Doris (P),25,26,-1
Spring2022,34314,MGMT 4385,01,3.000,Managing People for Global Business,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/18-05/11', 'location': 'TBA'}]",['MR 0930am-1045am 01/18-05/11 TBA'],Mousumi   Bhattacharya,Mousumi   Bhattacharya (P),20,21,-1
Spring2022,34315,MGMT 6500,01,3.000,Leadership,"[{'days': 'W', 'times': '0630pm-0930pm', 'dates': '01/18-05/11', 'location': 'ONLINE '}]",['W 0630pm-0930pm 01/18-05/11 ONLINE '],Richard F.  Cerrone,Richard F.  Cerrone (P),25,19,6
Spring2022,34317,MGMT 6503,01,3.000,Legal and Ethical Environment of Business,[],[],David P.  Schmidt,David P.  Schmidt (P),25,24,1
Spring2022,36117,MGMT 6503,03,3.000,Legal and Ethical Environment of Business,[],[],David P.  Schmidt,David P.  Schmidt (P),25,13,12
Spring2022,34319,MGMT 6505,01,3.000,Human Resource Strategies: An Analytics Approach,[],[],Mousumi   Bhattacharya,Mousumi   Bhattacharya (P),25,25,0
Spring2022,34320,MGMT 6530,01,3.000,Entrepreneurship,"[{'days': 'R', 'times': '0630pm-0930pm', 'dates': '03/21-05/06', 'location': 'TBA'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '03/21-05/06', 'location': 'TBA'}]","['R 0630pm-0930pm 03/21-05/06 TBA', 'S 0830am-0430pm 03/21-05/06 TBA', 'S 0830am-0430pm 03/21-05/06 TBA']",Gad   Selig,Gad   Selig (P),25,24,1
Spring2022,34321,MGMT 6584,01,3.000,Global Competitive Strategy,"[{'days': 'T', 'times': '0630pm-0930pm', 'dates': '01/24-03/11', 'location': 'TBA'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '01/24-03/11', 'location': 'TBA'}]","['T 0630pm-0930pm 01/24-03/11 TBA', 'S 0830am-0430pm 01/24-03/11 TBA', 'S 0830am-0430pm 01/24-03/11 TBA']",Carl A.  Scheraga,Carl A.  Scheraga (P),14,14,0
Spring2022,34322,MGMT 6584,02,3.000,Global Competitive Strategy,"[{'days': 'T', 'times': '0630pm-0930pm', 'dates': '03/21-05/06', 'location': 'TBA'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '03/21-05/06', 'location': 'TBA'}]","['T 0630pm-0930pm 03/21-05/06 TBA', 'S 0830am-0430pm 03/21-05/06 TBA', 'S 0830am-0430pm 03/21-05/06 TBA']",Carl A.  Scheraga,Carl A.  Scheraga (P),25,12,13
Spring2022,34753,MGTN 5460,01,3.000,Project Management,"[{'days': 'T', 'times': '0630pm-0900pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['T 0630pm-0900pm 01/18-05/11 TBA'],Harvey   Hoffman,Harvey   Hoffman (P),15,10,5
Spring2022,34756,MGTN 6962,01,3.000,Capstone II: Project Execution and Results,"[{'days': 'R', 'times': '0500pm-0730pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['R 0500pm-0730pm 01/18-05/11 TBA'],Adrian H.  van der Kroef,Adrian H.  van der Kroef (P),10,3,7
Spring2022,34323,MKTG 1101,01,3.000,Principles of Marketing,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/18-05/11', 'location': 'TBA'}]",['MR 0930am-1045am 01/18-05/11 TBA'],Iman   Naderi,Iman   Naderi (P),30,30,0
Spring2022,34324,MKTG 1101,02,3.000,Principles of Marketing,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['MR 1230pm-0145pm 01/18-05/11 TBA'],Iman   Naderi,Iman   Naderi (P),30,30,0
Spring2022,34325,MKTG 1101,03,3.000,Principles of Marketing,"[{'days': 'W', 'times': '1100am-0130pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['W 1100am-0130pm 01/18-05/11 TBA'],Gerald O.  Cavallo,Gerald O.  Cavallo (P),30,29,1
Spring2022,34326,MKTG 1101,04,3.000,Principles of Marketing,"[{'days': 'MR', 'times': '0800am-0915am', 'dates': '01/18-05/11', 'location': 'TBA'}]",['MR 0800am-0915am 01/18-05/11 TBA'],Iman   Naderi,Iman   Naderi (P),30,30,0
Spring2022,34327,MKTG 1101,05,3.000,Principles of Marketing,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['TF 1100am-1215pm 01/18-05/11 TBA'],Mousumi   Bose Godbole,Mousumi   Bose Godbole (P),30,30,0
Spring2022,34328,MKTG 1101,06,3.000,Principles of Marketing,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '01/18-05/11', 'location': 'TBA'}]",['TF 0930am-1045am 01/18-05/11 TBA'],Michael R.  Sciandra,Michael R.  Sciandra (P),30,27,3
Spring2022,34329,MKTG 1101,07,3.000,Principles of Marketing,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['MR 1100am-1215pm 01/18-05/11 TBA'],William   Natlo,William   Natlo (P),30,30,0
Spring2022,34330,MKTG 1101,08,3.000,Principles of Marketing,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['MR 1230pm-0145pm 01/18-05/11 TBA'],William   Natlo,William   Natlo (P),30,29,1
Spring2022,34331,MKTG 1101,09,3.000,Principles of Marketing,"[{'days': 'MW', 'times': '0630pm-0745pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['MW 0630pm-0745pm 01/18-05/11 TBA'],Mary Kathleen  Kelly,Mary Kathleen  Kelly (P),30,30,0
Spring2022,36106,MKTG 1101,10,3.000,Principles of Marketing,"[{'days': 'M', 'times': '0630pm-0900pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['M 0630pm-0900pm 01/18-05/11 TBA'],Robert   Schmitt,Robert   Schmitt (P),30,30,0
Spring2022,35640,MKTG 2212,05,3.000,Consumer Behavior,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['TF 1230pm-0145pm 01/18-05/11 TBA'],Arjun   Chaudhuri,Arjun   Chaudhuri (P),30,30,0
Spring2022,35641,MKTG 2212,06,3.000,Consumer Behavior,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['TF 0200pm-0315pm 01/18-05/11 TBA'],Arjun   Chaudhuri,Arjun   Chaudhuri (P),30,27,3
Spring2022,35642,MKTG 2212,07,3.000,Consumer Behavior,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '01/18-05/11', 'location': 'TBA'}]",['TF 0930am-1045am 01/18-05/11 TBA'],Wendy A.  Christian,Wendy A.  Christian (P),30,30,0
Spring2022,34335,MKTG 2231,01,3.000,Advertising,"[{'days': 'MR', 'times': '0800am-0915am', 'dates': '01/18-05/11', 'location': 'TBA'}]",['MR 0800am-0915am 01/18-05/11 TBA'],William   Natlo,William   Natlo (P),33,33,0
Spring2022,34336,MKTG 2241,01,3.000,Digital Marketing,"[{'days': 'T', 'times': '0500pm-0730pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['T 0500pm-0730pm 01/18-05/11 TBA'],Nazuk   Sharma,Nazuk   Sharma (P),30,32,-2
Spring2022,34337,MKTG 2241,02,3.000,Digital Marketing,"[{'days': 'W', 'times': '0200pm-0430pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['W 0200pm-0430pm 01/18-05/11 TBA'],Nazuk   Sharma,Nazuk   Sharma (P),30,30,0
Spring2022,34338,MKTG 2251,01,3.000,Social Media Marketing,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['TF 1230pm-0145pm 01/18-05/11 TBA'],Michael R.  Sciandra,Michael R.  Sciandra (P),31,31,0
Spring2022,34339,MKTG 2251,02,3.000,Social Media Marketing,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['TF 0200pm-0315pm 01/18-05/11 TBA'],Michael R.  Sciandra,Michael R.  Sciandra (P),30,30,0
Spring2022,34340,MKTG 2311,01,3.000,Marketing Research,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '01/18-05/11', 'location': 'TBA'}]",['TF 0930am-1045am 01/18-05/11 TBA'],Camelia   Micu,Camelia   Micu (P),32,32,0
Spring2022,34341,MKTG 2311,02,3.000,Marketing Research,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['TF 1100am-1215pm 01/18-05/11 TBA'],Camelia   Micu,Camelia   Micu (P),30,30,0
Spring2022,36078,MKTG 2311,03,3.000,Marketing Research,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['TF 1230pm-0145pm 01/18-05/11 TBA'],Camelia   Micu,Camelia   Micu (P),32,33,-1
Spring2022,34842,MKTG 2980,01,1.000,Internship,[],[],Sarah Jennie  Bollinger,Sarah Jennie  Bollinger (P),15,0,15
Spring2022,34343,MKTG 3312,01,3.000,Global Marketing,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['MR 1100am-1215pm 01/18-05/11 TBA'],Rajasree   Krishnankutty NairRajamma,Rajasree   Krishnankutty NairRajamma (P),24,23,1
Spring2022,34344,MKTG 3312,02,3.000,Global Marketing,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['MR 0200pm-0315pm 01/18-05/11 TBA'],Rajasree   Krishnankutty NairRajamma,Rajasree   Krishnankutty NairRajamma (P),24,24,0
Spring2022,35643,MKTG 3312,03,3.000,Global Marketing,"[{'days': 'MR', 'times': '0330pm-0445pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['MR 0330pm-0445pm 01/18-05/11 TBA'],Rajasree   Krishnankutty NairRajamma,Rajasree   Krishnankutty NairRajamma (P),24,24,0
Spring2022,34347,MKTG 3332,01,3.000,Public Relations Strategy,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['TF 1100am-1215pm 01/18-05/11 TBA'],Wendy A.  Christian,Wendy A.  Christian (P),30,29,1
Spring2022,34348,MKTG 3341,01,3.000,Brand Management,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/18-05/11', 'location': 'TBA'}]",['MR 0930am-1045am 01/18-05/11 TBA'],Gerald O.  Cavallo,Gerald O.  Cavallo (P),30,28,2
Spring2022,34349,MKTG 3341,02,3.000,Brand Management,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['MR 1230pm-0145pm 01/18-05/11 TBA'],Gerald O.  Cavallo,Gerald O.  Cavallo (P),30,30,0
Spring2022,35644,MKTG 3342,01,3.000,Contemporary Issues in Marketing,"[{'days': 'MR', 'times': '0200pm-0315pm', 'dates': '01/18-05/11', 'location': 'TBA'}]",['MR 0200pm-0315pm 01/18-05/11 TBA'],Julie Anne  Marella,Julie Anne  Marella (P),32,31,1
Spring2022,35645,MKTG 3342,02,3.000,Contemporary Issues in Marketing,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/18-05/11', 'location': 'TBA'}]",['MR 0930am-1045am 01/18-05/11 TBA'],Julie Anne  Marella,Julie Anne  Marella (P),30,30,0
Spring2022,34843,MKTG 3980,01,3.000,Internship,[],[],Sarah Jennie  Bollinger,Sarah Jennie  Bollinger (P),15,21,-6
Spring2022,36310,MKTG 4990,01,3.000,Independent Study,[],[],William   Natlo,William   Natlo (P),3,1,2
Spring2022,34350,MKTG 6500,01,3.000,Customer Value,[],[],Camelia   Micu,Camelia   Micu (P),25,26,-1
Spring2022,34353,MKTG 6535,01,3.000,Strategic Brand Management,"[{'days': 'R', 'times': '0630pm-0930pm', 'dates': '01/24-03/11', 'location': 'DSBN 112'}]",['R 0630pm-0930pm 01/24-03/11 DSBN 112'],Mark S.  Ligas,Mark S.  Ligas (P),15,9,6
Spring2022,35351,MKTG 6535,02,3.000,Strategic Brand Management,[],[],Mousumi   Bose Godbole,Mousumi   Bose Godbole (P),25,24,1
Spring2022,35646,MKTG 6540,01,3.000,Advertising Management,"[{'days': 'R', 'times': '0630pm-0930pm', 'dates': '03/21-05/06', 'location': 'DSBN 112'}]",['R 0630pm-0930pm 03/21-05/06 DSBN 112'],William   Natlo,William   Natlo (P),20,12,8
Spring2022,36060,MKTG 6550,01,3.000,Advanced Marketing Strategy,"[{'days': 'W', 'times': '0630pm-0930pm', 'dates': '01/18-05/11', 'location': 'DSBN 204'}]",['W 0630pm-0930pm 01/18-05/11 DSBN 204'],Julie Anne  Marella,Julie Anne  Marella (P),20,15,5
Spring2022,36062,MKTG 6550,02,3.000,Advanced Marketing Strategy,[],[],Julie Anne  Marella,Julie Anne  Marella (P),15,12,3
Spring2022,34355,MKTG 6570,01,3.000,Digital Marketing and Analytics,[],[],Nazuk   Sharma,Nazuk   Sharma (P),25,19,6
