term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,instructors,cap,act,rem
Summer2020,50342,MK 0392,01,3.000,Internship,[],[],Sarah Jennie  Bollinger,Sarah Jennie  Bollinger (P),20,0,20
Summer2020,50343,MK 0393,01,1.000,Internship,[],[],Sarah Jennie  Bollinger,Sarah Jennie  Bollinger (P),20,0,20
Summer2020,50344,MK 0394,01,1.000,Internship,[],[],Sarah Jennie  Bollinger,Sarah Jennie  Bollinger (P),20,0,20
Summer2020,50199,MK 0400,OL1,3.000,Marketing Management,[],[],Gerald O.  Cavallo,Gerald O.  Cavallo (P),20,15,5
Summer2020,50264,MK 0410,OL1,1.500,Marketing in the Digital World,[],[],Gerald O.  Cavallo,Gerald O.  Cavallo (P),20,7,13
Summer2020,50324,MK 0500,OL1,3.000,Customer Value,[],[],Camelia   Micu,Camelia   Micu (P),25,26,-1
Summer2020,50200,MK 0580,OL1,3.000,Multivariate Analysis for Consumer Insights,[],[],Rajasree   Krishnankutty NairRajamma,"Rajasree   Krishnankutty NairRajamma (P), Mark S.  Ligas , Camelia   Micu , Iman   Naderi , Michael R.  Sciandra ",20,7,13
Summer2020,50317,MK 0599A,OL1,3.000,Capstone Project: Marketing Analytics and Strategy,[],[],Camelia   Micu,Camelia   Micu (P),1,1,0
Summer2020,50074,FT 0425,OL1,3.000,Private Practice and Small Business Management,"[{'days': 'FSU', 'times': '0800am-0400pm', 'dates': '05/29-05/31', 'location': 'ONLINE '}, {'days': 'S', 'times': '0800am-0400pm', 'dates': '06/13-06/13', 'location': 'ONLINE '}]","['FSU 0800am-0400pm 05/29-05/31 ONLINE ', 'S 0800am-0400pm 06/13-06/13 ONLINE ', 'S 0800am-0400pm 06/13-06/13 ONLINE ']",Carrie Meredith  Rosenbloom,Carrie Meredith  Rosenbloom (P),24,23,1
Summer2020,50075,FT 0433,OL1,3.000,Social Justice and Diversity in Professional Practice,"[{'days': 'MW', 'times': '0800am-1100am', 'dates': '07/06-08/07', 'location': 'ONLINE '}]",['MW 0800am-1100am 07/06-08/07 ONLINE '],DaJavon Antonio  Davis,DaJavon Antonio  Davis (P),20,9,11
Summer2020,50076,FT 0447,OL1,3.000,Lifespan Human Development,"[{'days': 'MW', 'times': '0430pm-0830pm', 'dates': '06/01-06/26', 'location': 'ONLINE '}]",['MW 0430pm-0830pm 06/01-06/26 ONLINE '],Jocelyn K.  Novella,Jocelyn K.  Novella (P),10,10,0
Summer2020,50259,FT 0465,OL1,3.000,Introduction to Substance Abuse and Addictions,"[{'days': 'TR', 'times': '0430pm-0830pm', 'dates': '07/06-08/07', 'location': 'ONLINE '}]",['TR 0430pm-0830pm 07/06-08/07 ONLINE '],Joseph A.  Graziano,Joseph A.  Graziano (P),5,4,1
