team,opp_team,season,year,date,period,segment_id,play_id,remaining_time,elapsed,play_length,lineup,event_type,player,+points,-points,+assists,-assists,+turnovers,-turnovers,+fouls,-fouls,+rebounds,-rebounds,+rebounds_offensive,-rebounds_offensive,+rebounds_defensive,-rebounds_defensive,+blocks,-blocks,+steals,-steals,+jump_balls,-jump_balls,+made_FT,-made_FT,+missed_FT,-missed_FT,+made_2PT,-made_2PT,+missed_2PT,-missed_2PT,+made_3PT,-made_3PT,+missed_3PT,-missed_3PT,play_length_delta,play_length_secs,play_length_mins
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,55,0:07:32,0:04:28,0:00:25,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",shot,Fred VanVleet,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0 days 00:00:25.000000000,25,0.4166666667
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,57,0:07:17,0:04:43,0:00:15,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",miss,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0 days 00:00:15.000000000,15,0.25
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,58,0:07:13,0:04:47,0:00:04,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",rebound,Pascal Siakam,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 days 00:00:04.000000000,4,0.06666666667
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,59,0:06:59,0:05:01,0:00:14,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",shot,Kyle Lowry,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0 days 00:00:14.000000000,14,0.2333333333
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,61,0:06:45,0:05:15,0:00:14,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",miss,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0 days 00:00:14.000000000,14,0.2333333333
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,62,0:06:42,0:05:18,0:00:03,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",rebound,Pascal Siakam,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 days 00:00:03.000000000,3,0.05
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,2,63,0:06:36,0:05:24,0:00:06,"['Fred VanVleet', 'Kyle Lowry', 'Marc Gasol', 'OG Anunoby', 'Pascal Siakam']",foul,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 days 00:00:06.000000000,6,0.1
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,65,67,0:06:30,0:05:30,0:00:06,"['Fred VanVleet', 'Kyle Lowry', 'OG Anunoby', 'Pascal Siakam', 'Serge Ibaka']",miss,Pascal Siakam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0 days 00:00:06.000000000,6,0.1
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,65,68,0:06:28,0:05:32,0:00:02,"['Fred VanVleet', 'Kyle Lowry', 'OG Anunoby', 'Pascal Siakam', 'Serge Ibaka']",rebound,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 days 00:00:02.000000000,2,0.03333333333
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,65,69,0:06:22,0:05:38,0:00:06,"['Fred VanVleet', 'Kyle Lowry', 'OG Anunoby', 'Pascal Siakam', 'Serge Ibaka']",shot,,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0 days 00:00:06.000000000,6,0.1
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,65,71,0:06:04,0:05:56,0:00:18,"['Fred VanVleet', 'Kyle Lowry', 'OG Anunoby', 'Pascal Siakam', 'Serge Ibaka']",shot,OG Anunoby,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0 days 00:00:18.000000000,18,0.3
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,65,73,0:05:54,0:06:06,0:00:10,"['Fred VanVleet', 'Kyle Lowry', 'OG Anunoby', 'Pascal Siakam', 'Serge Ibaka']",turnover,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 days 00:00:10.000000000,10,0.1666666667
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,65,74,0:05:46,0:06:14,0:00:08,"['Fred VanVleet', 'Kyle Lowry', 'OG Anunoby', 'Pascal Siakam', 'Serge Ibaka']",miss,Pascal Siakam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0 days 00:00:08.000000000,8,0.1333333333
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,65,76,0:05:45,0:06:15,0:00:01,"['Fred VanVleet', 'Kyle Lowry', 'OG Anunoby', 'Pascal Siakam', 'Serge Ibaka']",rebound,Pascal Siakam,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 days 00:00:01.000000000,1,0.01666666667
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,65,77,0:05:45,0:06:15,0:00:00,"['Fred VanVleet', 'Kyle Lowry', 'OG Anunoby', 'Pascal Siakam', 'Serge Ibaka']",shot,Pascal Siakam,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0 days 00:00:00.000000000,0,0
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,65,78,0:05:33,0:06:27,0:00:12,"['Fred VanVleet', 'Kyle Lowry', 'OG Anunoby', 'Pascal Siakam', 'Serge Ibaka']",miss,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0 days 00:00:12.000000000,12,0.2
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,65,79,0:05:30,0:06:30,0:00:03,"['Fred VanVleet', 'Kyle Lowry', 'OG Anunoby', 'Pascal Siakam', 'Serge Ibaka']",rebound,Fred VanVleet,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 days 00:00:03.000000000,3,0.05
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,65,80,0:05:23,0:06:37,0:00:07,"['Fred VanVleet', 'Kyle Lowry', 'OG Anunoby', 'Pascal Siakam', 'Serge Ibaka']",miss,Serge Ibaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0 days 00:00:07.000000000,7,0.1166666667
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,65,81,0:05:20,0:06:40,0:00:03,"['Fred VanVleet', 'Kyle Lowry', 'OG Anunoby', 'Pascal Siakam', 'Serge Ibaka']",rebound,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 days 00:00:03.000000000,3,0.05
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,65,82,0:05:20,0:06:40,0:00:00,"['Fred VanVleet', 'Kyle Lowry', 'OG Anunoby', 'Pascal Siakam', 'Serge Ibaka']",foul,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 days 00:00:00.000000000,0,0
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,84,86,0:05:09,0:06:51,0:00:11,"['Fred VanVleet', 'Norman Powell', 'OG Anunoby', 'Pascal Siakam', 'Serge Ibaka']",shot,Fred VanVleet,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0 days 00:00:11.000000000,11,0.1833333333
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,84,87,0:04:54,0:07:06,0:00:15,"['Fred VanVleet', 'Norman Powell', 'OG Anunoby', 'Pascal Siakam', 'Serge Ibaka']",miss,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0 days 00:00:15.000000000,15,0.25
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,84,88,0:04:52,0:07:08,0:00:02,"['Fred VanVleet', 'Norman Powell', 'OG Anunoby', 'Pascal Siakam', 'Serge Ibaka']",rebound,Pascal Siakam,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 days 00:00:02.000000000,2,0.03333333333
TOR,NOP,2019-2020 Regular Season,2020,2019-10-22,1,84,89,0:04:46,0:07:14,0:00:06,"['Fred VanVleet', 'Norman Powell', 'OG Anunoby', 'Pascal Siakam', 'Serge Ibaka']",foul,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 days 00:00:06.000000000,6,0.1
